image path: G006_IMG103.jpg, distances: [     5.4377      4.1261      2.9569      5.4321], match: True, time: 6.785701513290405
image path: G006_IMG104.jpg, distances: [     12.638      2.4191      1.7926        3.94], match: True, time: 4.986013174057007
image path: G006_IMG105.jpg, distances: [     4.4788      4.3007      5.7213      1.1372], match: True, time: 6.463226318359375
image path: G006_IMG106.jpg, distances: [     5.5688     0.98667      18.911      7.4465], match: True, time: 6.032305717468262
image path: G006_IMG107.jpg, distances: [     6.0009       3.442      16.589      1.9606], match: True, time: 5.684814929962158
image path: G006_IMG108.jpg, distances: [     4.1024      8.3193      6.6905      10.301], match: True, time: 4.760956287384033
image path: G006_IMG109.jpg, distances: [     9.0846      93.321      745.48      19.954], match: False, time: 5.071895122528076
image path: G006_IMG110.jpg, distances: [     515.09      516.63       2.635      3.0213], match: False, time: 5.00417685508728
image path: G006_IMG111.jpg, distances: [     3.2871      15.104      3.9273      15.439], match: True, time: 5.410133361816406
image path: G006_IMG112.jpg, distances: [     3.3888      3.2933      3.7395      5.7547], match: True, time: 6.6553871631622314
image path: G006_IMG113.jpg, distances: [     13.635      2.6557      6.8145       6.064], match: True, time: 5.259991407394409
image path: G006_IMG114.jpg, distances: [     5.3268      6.6669       6.398      10.339], match: True, time: 6.4328813552856445
image path: G006_IMG115.jpg, distances: [     2.3958      1.6108      2.7596      5.1947], match: True, time: 6.375493288040161
image path: G006_IMG116.jpg, distances: [     9.2309      3.5618       1.663      5.5596], match: True, time: 5.199044942855835
image path: G006_IMG117.jpg, distances: [     9.7995      6.0686      2.3531      2.2451], match: True, time: 5.106467008590698
image path: G006_IMG118.jpg, distances: [     10.684      2.8092      8.2389      3.6741], match: True, time: 5.88338565826416
image path: G006_IMG119.jpg, distances: [     11.758      3.9037      5.7083       0.314], match: True, time: 5.400207042694092
image path: G033_IMG000.jpg, distances: [     2.3648      4.1462      6.4381      1.2015], match: True, time: 6.138226509094238
image path: G033_IMG001.jpg, distances: [     11.265      2.1622      3.8905      9.6727], match: True, time: 5.121262073516846
image path: G033_IMG002.jpg, distances: [     1.1315      0.7428        8.16      3.8341], match: True, time: 6.081177234649658
image path: G033_IMG003.jpg, distances: [     3.6338      3.0726      10.192      8.0205], match: True, time: 6.36469578742981
image path: G033_IMG004.jpg, distances: [     5.3993      8.0642      14.639      2.4284], match: True, time: 5.087188005447388
image path: G033_IMG005.jpg, distances: [     11.223      11.832      46.929      314.48], match: False, time: 6.696510076522827
image path: G033_IMG006.jpg, distances: [     2.8714      7.1616      10.811      5.8296], match: True, time: 5.777247667312622
image path: G033_IMG007.jpg, distances: [     15.812      1.2332      4.5504      5.6858], match: True, time: 4.685369491577148
image path: G033_IMG008.jpg, distances: [     2.9482      3.8076       10.65      3.8542], match: True, time: 5.795201539993286
image path: G033_IMG009.jpg, distances: [     2.6476       7.298      2.3902      6.8968], match: True, time: 5.5899317264556885
image path: G033_IMG010.jpg, distances: [     6.3543      4.0637      4.5364      7.1544], match: True, time: 5.688486337661743
image path: G033_IMG011.jpg, distances: [     3.1352      2.9844      1.7839      9.0634], match: True, time: 5.390659332275391
image path: G033_IMG012.jpg, distances: [     4.0311      2.5985      3.6375      3.8422], match: True, time: 5.159407615661621
image path: G033_IMG013.jpg, distances: [     4.8486      2.3538      13.875      7.7111], match: True, time: 5.376717567443848
image path: G033_IMG014.jpg, distances: [     2.9987      5.3453      2.5528      2.7831], match: True, time: 5.248602390289307
